Product,Manufacturer,Category,Material,Widths,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond
Dimensions Plains 40,Brockway,Carpet,80% Wool,"4, 5",21.08,38.333333333333336,46.0,Yes,
Dimensions Heathers 40,Brockway,Carpet,80% Wool,"4, 5",21.08,38.333333333333336,46.0,,
Dimensions Plains 50,Brockway,Carpet,80% Wool,"4, 5",23.48,42.5,51.0,,
Dimensions Heathers 50,Brockway,Carpet,80% Wool,"4, 5",23.48,42.5,51.0,,
Rosedale,Brockway,Carpet,80% Wool,"4, 5",17.95,35.833333333333336,43.0,,
Dimensions Berber,Brockway,Carpet,80% Wool,"4, 5",21.33,38.333333333333336,46.0,,
Rare Breeds,Brockway,Carpet,100% Wool,"4, 5",31.88,54.16666666666667,65.0,,Yes
Orion Twist,Brockway,Carpet,80% Wool,"4, 5",21.37,38.333333333333336,46.0,,
Orion Twist Major,Brockway,Carpet,80% Wool,"4, 5",27.56,46.66666666666667,56.0,,
Solar,Brockway,Carpet,80% Wool,"4, 5",31.58,53.33333333333333,64.0,,
Beachcomber,Brockway,Carpet,100% Wool,"4, 5",27.47,46.66666666666667,56.0,,Yes
Lakeland Herdwick,Brockway,Carpet,100% Wool,"4, 5",30.08,50.83333333333333,61.0,,Yes
Lakeland Herdwick Twist,Brockway,Carpet,100% Wool,"4, 5",30.08,50.83333333333333,61.0,,Yes
Lakeland Herdwick Loop,Brockway,Carpet,100% Wool,"4, 5",30.08,50.83333333333333,61.0,,Yes
Lakeland Herdwick Weave,Brockway,Carpet,100% Wool,4,30.08,50.83333333333333,61.0,,Yes
Rare Breeds Loop,Brockway,Carpet,100% Wool,"4, 5",25.62,43.33333333333333,52.0,,Yes
Natural Tweed,Brockway,Carpet,100% Wool,5,28.52,48.33333333333333,58.0,,Yes
Lingdale,Brockway,Carpet,80% Wool,"4, 5",15.75,31.666666666666664,38.0,,
Lingdale Elite,Brockway,Carpet,80% Wool,"4, 5",18.36,36.666666666666664,44.0,,
Padstow,Brockway,Carpet,100% Wool,"4, 5",29.73,50.83333333333333,61.0,,Yes
Portofino,Brockway,Carpet,100% Wool,"4, 5",31.71,54.16666666666667,65.0,,Yes
Galloway,Brockway,Carpet,100% Wool,5,34.01,57.5,69.0,,Yes
Heathcote,Brockway,Carpet,100% Wool,"4, 5",14.29,28.333333333333336,34.0,,Yes
Romney,Brockway,Carpet,100% Wool,"4, 5",20.8,37.5,45.0,,Yes
Helvellyn,Brockway,Carpet,100% Wool,"4, 5",28.61,48.33333333333333,58.0,,Yes
Cotswolds,Brockway,Carpet,100% Wool,5,30.13,50.83333333333333,61.0,,Yes
Elements,Brockway,Carpet,100% Wool,5,35.87,57.5,69.0,,Yes
Gatsby,Brockway,Carpet,100% Wool,4,39.85,64.16666666666667,77.0,Yes,Yes
Landscapes,Brockway,Carpet,100% Wool,5,38.51,61.66666666666667,74.0,,Yes
Salcombe,Brockway,Carpet,100% Wool,5,38.15,60.83333333333333,73.0,,Yes
Serenity,Brockway,Carpet,100% Wool,5,36.77,59.16666666666667,71.0,,Yes
Herdwick Herringbone Runner,Brockway,Carpet,100% Wool,0.69,72.56,109.16666666666666,131.0,,Yes
